Date of List,Rank,Title,Author,Pub City,Publisher,Fict/Non/Int,Series,Hardback/paperback,,,,,,,,,,,
14-Jan-94,9,Entsiklopediia sovremennogo bodibildinga,"Shvartsenegger, A., Dobbins, B.",Moscow,Fizkul'tura i sport,Drugaia literatura,not listed,not listed,,,,,,,,,,,
14-Jan-94,10,Drevnie Tiurki,"Gumilev, L.",Moscow,"Klyshnikov, Komarov, i Ko",Drugaia literatura,not listed,not listed,,,,,,,,,,,
14-Jan-94,1,Impotent,"Nikonov, L.",Moscow,Metshen,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
14-Jan-94,2,Lovushka dlia Greisi,"Uil'iams, K.",Moscow,Panorama,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
14-Jan-94,3,Amerikanskaia zvezda,"Kollinz, D.",Moscow,OLMA-PRESS,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
14-Jan-94,4,Dolgaia doroga v diunakh,"Rudnev, O.",Moscow,Drofa,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
14-Jan-94,5,Semeinye tainy,"Pikart, D.E.",Moscow,Vse dlia vas,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
14-Jan-94,6,Na trinadtsati vetrakh,"Bentsoni, Zh.",Moscow,Drofa,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
14-Jan-94,7,Skelet pod kolokolom,"Van Gulik, R.",Moscow,ACT-PRESS,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
14-Jan-94,8,Park iurskogo perioda,"Kraiton, M.",Moscow,VAGRIUS,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
14-Jan-94,9,Tanets liubvi,"Batler, K.",Moscow,Panorama,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
14-Jan-94,10,"Shpion pod podozreniem, Spasskie vorota","Sebastiana, T.",Moscow,Kuchkovoe pole-Tituk-Dikop,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
21-Jan-94,1,Velikaia kriminal'naia revoliutsiia,"Govorukhin, St.",Moscow,Andreevskii flag,Drugaia literatura,not listed,not listed,,,,,,,,,,,
21-Jan-94,2,Rukodelie,not listed,Moscow,Bol'shaia Ros. Entsiklopediia,Drugaia literatura,not listed,not listed,,,,,,,,,,,
21-Jan-94,3,Chelovek prokhodit skvoz' stenu: Pravda i vymysel o Garri Gudini,"Greshem, U.",Moscow,O-vo po izucheniiu tain i zagadok Zemli; Misteriia,Drugaia literatura,not listed,not listed,,,,,,,,,,,
21-Jan-94,4,Lesbianki,"Morz, B.",Moscow,Panmarket,Drugaia literatura,not listed,not listed,,,,,,,,,,,
21-Jan-94,5,Ulitsy Moskvy,not listed,Moscow,Avers,Drugaia literatura,not listed,not listed,,,,,,,,,,,
21-Jan-94,6,Rasti zdorovym,"Rotenberg, R.",Moscow,Fizkul'tura i sport,Drugaia literatura,not listed,not listed,,,,,,,,,,,
21-Jan-94,7,Entsiklopediia sovremennogo bodibildinga,"Shvartsenegger, A., Dobbins, B.",Moscow,Fizkul'tura i sport,Drugaia literatura,not listed,not listed,,,,,,,,,,,
21-Jan-94,8,Drevnie Tiurki,"Gumilev, L.",Moscow,"Klyshnikov, Komarov, i Ko",Drugaia literatura,not listed,not listed,,,,,,,,,,,
21-Jan-94,9,Entsiklopediia domashnei meditsiny,not listed,Moscow,SIRIN,Drugaia literatura,not listed,not listed,,,,,,,,,,,
21-Jan-94,10,"Liudi sdelaiut tak, kak vy zakhotite","Parkinson, D.O.",Moscow,Novosti,Drugaia literatura,not listed,not listed,,,,,,,,,,,
21-Jan-94,1,Kak podskazalo serdtse,"Dzhinsen, R.",Moscow,Panorama,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
21-Jan-94,2,Impotent,"Nikonov, L.",Moscow,Metshen,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
21-Jan-94,3,Dolgaia doroga v diunakh,"Rudnev, O.",Moscow,Drofa,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
21-Jan-94,4,Kogda v nas streliaiut,"Slovin, L.",Moscow,SP Kvadrat,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
